user_id,following_list
36795841,"['2206611', 'poppyland', 'catherinehman', '211375081', 'lotuslau', '245777750', 'db_karen', 'fuyulovehyde', '178986888', 'nopanic', 'davige', 'lottie9', '53109950', '198637403', '93309304', '184296339', 'underground1984', '59320981', 'loveasondepp', 'zuoshanweng', '102795669', 'budiman', 'gracexcy1', 'hinabookhqt', 'muscovy', '56843116', '227226663', 'Iron_Rabbit', '159106430', 'wang0926', 'YUN1994813', '138776300', '86203196', '192780322', '149635270', '1971439', 'stellashao', '251342647', '31716665', '103886539', 'yiaer', 'M350377499', 'xinwenben', '50335468', 'Kuhane', 'auntbear', '248430629', '139444387', '229257108', 'helloLins', 'ilychen1024', '161848712', '54463982', '103415549', 'AMAN520AM', 'pandapie', 'honeypie', '75052798', '226115652', 'claymoreteresa', 'keyculture', '2820059', '36017162', '153607885', '127767838', 'yujia523', 'xxx898989', '69118869', '172856773', 'onehundredye', '157428065', 'yubeia', 'LUOTINVSHI', '138546992', '119465486', '72325751', '209006461', '201946544', 'Lucasissssss', 'I05i50', '142621899', '77003085', 'xiayangya', '1867648', '147563618', '223974578', 'dabuliuxiaoxi', 'lvshuiyibei', '178843506', 'AquariusAnko', '188634807', '115618553', 'river2joy', 'ALDSD521521', 'XDLFDJT', 'darkS', '233409232', '161257886', 'sukiss', 'airro', '70596733', 'mini1989', '172869898', '145874267', '235951655', '157348266', '2172514', '129618504', 'violette9', 'hanslu', '176031070', 'missguo2', '160900942', '184063906', '216018088', '233934329', 'tudousky', 'nancy-chan', '168665437', '167199784', '159142869', '175187950', '167241098', '54492648', '40014667', '181175625', '169470619', '132707368', '194704956', '74636712', 'sexymask', '172977710', '191907847', 'cxl1998513', '62054075', '53032472', 'icantfq37', 'smart520', '63266769', '140414451', '47159583', '172677260', '160382128', 'Esther314', '162437187', '149721416', 'ruojin13', 'timbernord', '158049119', '2680338', 'xiacat', '58240844', '211826218', '190915578', '86497696', '156459896', 'Fiona9421', '47896876', 'yuantuan', '51898394', 'bjlgbt', '84265705', '54100941', '4408562', '225066420', '114515320', 'phunny', '142767444', 'CINO.X', 'heybubu', '53587150', '163266660', '151685366', '162512366', 'zhouliuxxx', 'shugeorg', 'Dear_Nana', 'zhaoxinjia', 'lephemera', '192377200', '184023421', '77783929', 'maylove531', 'Michellle', '61059275', 'Gzhizhi', 'alex_flaneur', '179550609', '125322216', '213343362', 'Books-China', 'shisan813', 'hinabookart', 'cmq826', '214329672', 'daydreamerre', '1452241', 'gaobiedeying', 'soundofspeed', 'Fuguier-', 'typhonyan', 'aptx869', 'soulmate_', '57593768', '199144511', 'ChanKingLong', 'weakform', '64207379', '144362332', '103069127', 'whatever9495', '134598401', '185364299', 'Zuikaku', '201748948', '38557684', '57833610', 'alexcite', '185955681', '203534551', '213315036', 'Nishiyama', '145576716', '171289915', '208015267', '1998102', '120651931', '165037390', 'S390', 'ngocn01', 'cbw506021', 'woaitazhu', 'iamkklee', 'citizen82418', '151761300', '62108692', '206103247', '168761728', 'kakahex', '162176213', '196297654', 'xtutux', 'phoebejk', 'wushikuai', '83748205', '26384755', 'cabaret', '211125406', '163562348', '161939719', '87697624', '210273085', 'mianhuasha', '52916366', 'sharplhl', '213923882', 'giverny', 'nyouyou', '149537298', '160537893', 'mlln', 'ny1k', '211073509', '209869132', '113894409', '144259434', '41249084', 'cclethe', 'cancermomo', 'renjiananhuo', 'bbtpressbook', 'Yosan_Lyeast', 'linbj', 'neotype', 'wenzel', 'xiaojia86', '3829734', 'bbsummer', 'diewithme', 'bocaidaxigua', 'zhoujie221', 'ikausume', 'ayongli', 'seawaver', '120956421', 'nothingbut', 'citicpub-dafang', '62212839', 'emmmmmmma', 'Calvin1113', 'doubanshiji', '78868873', '95805238', 'ortenal', '186015655', '3540441', '158459516', 'ahbei', 'silenceapostle', 'iloveevanna', 'year-progress', 'wangao', 'Sam-antha', 'hinabook', '50619020', 'madehua', 'truevoice', 'nobodyfilm', 'darkwood', 'malingcat', 'elbe', '3311085', '1405807', 'xiaoqiu-aslan', 'indigochild', 'Lushuosha', '1585975', 'croath', '4023370', '67628495', 'redr0se', 'stardong', 'mxd', 'xiaojimao', 'paranoidtomato', 'guolichenglangl', 'songlet', 'babykitty', 'einzen', 'cheshirecat357', '3703176', 'cceng666', 'icaso', 'gallimard', '1306273', 'chabulitu', 'zhaoyiwen', 'zhanyongnimabi', 'meiyang', '2760910', 'zhenxianpoluo', 'scarletfish', 'mimengbb', '46419014', 'wuchengzhiya', 'qiusebolianbo', 'Scarlett1020', 'esloveu', 'yunningyunning', 'plumestreet', 'shiyifei0220', '42773853', 'suqiqishuo', 'daneil', 'yyy18n', 'little.pussy.jo', 'guyi', 'is4dog', 'AveryShen', 'ORange4yu', 'valetime', 'gefei', 'G_Dino', 'treeman', 'TitanEnix', 'eyesienna', 'velvetmomoko', 'qijiuzhiyue', 'xiajia', 'qiaoqingxin', 'flowerhostel', '3522864', 'mszyx', 'hewak', 'sungdebbie', 'humeizi1', 'suluweian', '43790625', '3756667', 'newcentury', 'xunran', 'lilelf', 'klavieriel', '39480145', '3978258', '2229221', '1541002', 'amour1986']"
,
56827554,"['Arclucifer', '1402913', '69179340', '113999098', '3859602', '180441686', '180473770', '180473832', '152538929']"
,
2842318,"['gioacchino', 'design2business', 'taijinglan', '54105770', 'DAYFLYCLUB', 'wonderofchill', 'woshijingzhe', '2341432']"
,
137451274,"['215186794', 'bibizoo', '1945133', 'renjiananhuo', 'DARKWALKER', '153831793', 'shezaizuyi', 'mwoods', '219064068', '1292389', 'Face0706', 'jinjidexiong', '88439681', 'hjt8844', 'luqy', 'cabaret', 'sakuraway0925', 'directube', 'difeijing', '48369193', '43079046', 'eazy89', 'shadanbbi', 'lantianxing', 'sanwuhuashi', 'Lin_miumiu', '185222478', 'moviebase', 'fayehaohao', 'tjz230', 'lephemera', 'mr.slow', 'joearde', 'hou7', '2650429', 'leyongcheng', 'Rouwell', '49289313', 'MovieL', '1207019', 'day7879', '139444387', 'mackalex', 'luzhiyu', '114515320', 'busanmovie', 'grinch', 'qijiuzhiyue', 'ruo1996', 'huhu1999', 'dreamfox', 'ritakaka', 'xzfd', '58856070', 'sallen0948']"
,
144008179,"['171119540', '155540238']"
,
